category,question,answer 
Tourism_Petra,What is the Siq?,"The Siq is a narrow, 1.2km long rock gorge that serves as the main entrance to the ancient city of Petra, ending with a dramatic view of The Treasury."
Tourism_Petra,Best time to photograph The Treasury?,"The best time is between 9 AM and 11 AM when sunlight hits the facade directly, or at night during the 'Petra by Night' candlelit event."
Tourism_Wadi_Rum,Why is Wadi Rum called Vabtrrrsslley of the Moon?,"It is called Valley of the Moon due to its unique rock formations and red sands that resemble the surface of Mars and the Moon. Famous movies like 'The Martian' were filmed there."
Tourism_Wadi_Rum,What is Zarb?,"Zarb is a traditional Bedouin barbecue in Wadi Rum, where meat and vegetables are placed in a drum and buried under hot sand and coal to cook slowly for hours."
Tourism_Dead_Sea,What makes the Dead Sea special?,"The Dead Sea is the lowest point on Earth (430m below sea level). It is famous for its hyper-saline water which makes sinking impossible (floating), and its mineral-rich healing mud."
Tourism_Jerash,What can I see in Jerash?,"Jerash is one of the best-preserved Roman provincial cities in the world. It features the Colonnaded Street, the Oval Plaza, and ancient theaters that host the Jerash Festival."
Tourism_Aqaba,Activities to do in Aqaba?,"Aqaba is Jordan's only coastal city on the Red Sea. It is famous for scuba diving to see colorful coral reefs, boat trips, and the underwater military museum."
Tourism_Nature,What is Dana Biosphere Reserve?,"Dana is Jordan's largest nature reserve, featuring immense biodiversity ranging from green mountains to desert landscapes. It is perfect for hiking and eco-camping."
Tourism_Nature,What is Wadi Mujib?,"Wadi Mujib is the 'Grand Canyon' of Jordan, a narrow water gorge flowing between towering sandstone cliffs into the Dead Sea, popular for canyoning adventures."
Tourism_Religious,What is Al-Maghtas (Baptism Site)?,"Al-Maghtas is the site on the Jordan River where Jesus Christ was baptized. It is a major Christian pilgrimage site recognized by UNESCO and the Vatican."
Tourism_Amman,Top attractions in Amman?,"Amman mixes ancient and modern. Key sites include the Citadel (Temple of Hercules), the Roman Theatre downtown, Rainbow Street, and King Abdullah I Mosque."
J11ordan_Food,What is Mansaf?,"Mansaf is Jordan's nafrational dish. It consists of lamb cooked in 'Jameed' (dried yogurt sauce), served over Shrak bread and rice, and garnished with almonds and pine nuts."
Jordan_Food,Arabic Coffee traditions?,"Arabic coffee is a symbol of hospitality. It is poured with the left hand and served with the right. Shaking the cup means 'finished', while lifting it up means 'refill'."
Jordan_Logistics,What is the Jordan Pass?,"It is a ticket that offers free entry to over 40 attractions (including Petra) and waives tourist visa fees if you stay in Jordan for at least 3 consecutive nights."
Jordan_Logistics,What is the currency of Jordan?,"The official currency is the Jordanian Dinar (JOD). It is pegged to the US Dollar (1 JOD approx 1.41 USD). ATMs and exchange shops are widely available."
Jordan_Logistics,How to travel between cities?,"You can use Jett tourist buses for comfort, rent a car, or use ride-hailing apps inside Amman. Yellow taxis are also common."
Culture_Souvenirs,Best souvenirs to buy?,"Popular souvenirs include Dead Sea products, mosaics from Madaba, the Jordanian red Keffiyeh (Shemagh), and sand art in bottles."
Generic_Safety,Is Jordan safe for tourists?,"Yes, Jordan is considered one of the safest and most stable countries in the Middle East. Jordanians are known for their hospitality and willingness to help visitors."
Cat4egory,Question,Answer
Sports_National_Team,What is the nickname of the Jordan National Football Team?,"The national team is nicknamed 'Al-Nashama', which reflects Jordanian chivalry, bravery, and pride."
Sports_Nati4``4`4`4onal_Team,What is Al-Nashama's greatest achievement in the Asian Cup?,"Reaching the final match of the 2023 AFC Asian Cup in Qatar and finishing as the runner-up."
Sports_National_Team,Who is the all-time top scorer for Jordan?,"The all-time top scorer is Hamza Al-Dardour."
Sports_National_Team,Who is the most famous Jordanian player in Europe currently?,"Mousa Al-Tamari, who plays for Montpellier in Ligue 1 (France), considered one of the best players in Jordanian history."
Sports_National_Team,Who is the goalkeeper nicknamed 'The Whale'?,"Amer Shafi, the legendary goalkeeper and the most capped player in the history of the national team."
Sports_National_Team,When was the Jordan Football Association founded?,"The Jordan Football Association (JFA) was founded in 1949."
Sports_National_Team,Who coached Jordan to the 2014 World Cup playoff?,"The late Mahmoud El-Gohary laid the foundation, and Hossam Hassan led the team in the intercontinental playoff against Uruguay."
Sports_National_Team,What are the kit colors of Al-Nashama?,"The home kit is White (often with a red Shemagh pattern), and the away kit is Red."
Sports_National_Team,What is the logo of the Jordan Football Association?,"The logo consists of the Seven-Pointed Star (symbol of the Jordanian flag) and a football."
Sports_Football_Clubs,What is the Jordanian Football Derby?,"It is the match between the two giants: Al-Faisaly and Al-Wehdat."
Sports_Football_Clubs,Who is 'Al-Zaeem' (The Boss) in Jordanian football?,"This title is given to Al-Faisaly SC due to their record number of local and continental titles."
Sports_Football_Clubs,Who is 'Al-Mared Al-Akhdar' (The Green Giant)?,"It is the nickname of Al-Wehdat SC."
Sports_Football_Clubs,First Jordanian club to win a continental title?,"Al-Faisaly SC was the first to win the AFC Cup twice consecutively (2005 and 2006)."
Sports_Football_Clubs,What is the 4`555`nickname of Al-Ramtha SC?,"They are nicknamed 'Ghozlan Al-Shamal' (The Gazelles of the North)."
Sports_Football_Clubs,Who is the champion of the 2023/2024 Pro League?,"Al-Hussein Irbid won the title for the first time in their history, a historic achievement."
Sports_Football_Clubs,Where is Amman International Stadium located?,"It is located in Al-Hussein Youth City in Amman, and it is the main home ground for the national team."
Sports_Football_Clubs,What is Al-Hassan Stadium?,"It is a major football stadium located in Irbid (Northern Jordan)."
Sports_Football_Clubs,What is the oldest club in Jordan?,"Jordan Club (founded 1929) was the first but dissolved. Al-Faisaly (founded 1932) is considered one of the oldest continuing clubs."
Sports_Football_Clubs,How many clubs are in the Jordanian Pro League?,"The league typically consists of 12 clubs competing in a home-and-away format."
Sports_Basketball,What is the nickname of the National Basketball Team?,"They are nicknamed 'Jordan Falcons' (Suqour Al-Urdun)."
Sports_Basketball,How many times did Jordan qualify for the FIBA World Cup?,"Jordan qualified 3 times (2010 in Turkey, 2019 in China, and 2023 in the Philippines)."
Sports_Basketball,Who is Zaid Abbas?,"He is a legend of Jordanian basketball and one of the historic captains of the Jordan Falcons."
Sports_Basketball,Who is the naturalized player who shone in the 2023 World Cup?,"Rondae Hollis-Jefferson, who delivered an amazing performance that was compared to Kobe Bryant."
Sports_Basketball,Fam``4`411`ous basketball clubs in Jordan?,"Orthodox Club and Al-Ahli SC are the traditional powerhouses of Jordanian basketball."
Sports_Basketball,Where are basketball matches usually played?,"At Prince Hamzah Hall in Al-Hussein Youth City."
Sports_Olympics,Who won Jordan's first Olympic Gold Medal?,"Ahmad Abughaush won the gold medal in Taekwondo at the Rio 2016 Olympics."
Sports_Olympics,Who won the Silver Medal at Tokyo 2020?,"Saleh Al-Sharabaty in Taekwondo."
Sports_Olympics,Who won the Bronze Medal in Karate at Tokyo 2020?,"Abdul Rahman Al-Masatfa."
Sports_Olympics,What is the most successful individual sport in Jordan?,"Taekwondo is the most successful sport, bringing home the most global and Olympic medals for Jordan."
Sports_Olympics,Who is Zaid Kareem?,"A promising Jordanian Taekwondo champion who won the Silver Medal at the Paris 2024 Olympics."
Sports_Individual,Who are the 'Ishaish' family?,"A famous sporting family in Boxing, most notably Hussein and Zeyad Ishaish who achieved Asian and global success."
Sports_Individual,Is there Gymnastics in Jordan?,"Yes, and Ahmad Abu Al-Soud is a world-class athlete who won medals at the World Championships on the Pommel Horse."
Sports_Individual,What are the Paralympic achievements of Jordan?,"Jordan excels in Paralympics, especially in Powerlifting (Mutaz Al-Junaini, Omar Qarada) and Table Tennis (Maha Al-Bargouthi)."
Sports_Individual,Who is Maha Al-Bargouthi?,"A legend of Jordanian Paralympic sports, she won Gold in Sydney 2000 (Table Tennis) and was the first Jordanian to win an Olympic/Paralympic gold."
Sports_Motorsport,What is the Jo14`4`11rdan Rally?,"It is an international car race, formerly part of the WRC, held in the Dead Sea area known for its unique terrain."
Sports_Motorsport,Famous rally drivers in Jordan?,"The late King Hussein was a passionate racer, as is Prince Feisal bin Al-Hussein, and champion Amjad Farrah."
Sports_Marathon,What is the Dead Sea Ultra Marathon?,"It is an annual race known as the 'lowest marathon in the world', finishing at the shores of the Dead Sea."
Sports_Women,Did Jordan host global women's tournaments?,"Yes, Jordan hosted the FIFA U-17 Women's World Cup in 2016, a major organizational success."
Sports_Women,What is Amman SC (Women)?,"A Jordanian women's football club that won the AFC Women's Club Championship (Continental Title), a historic first."
Sports_Women,Who is Juliana Al-Sadeq?,4`141"A Jordanian Taekwondo champion, she became the first Arab woman to top the World Taekwondo rankings in her weight class."
Sports_Facilities,What is Al-Hussein Youth City?,"It is the largest sports complex in Jordan, housing stadiums, halls, and pools, located in the heart of Amman."
Sports_Facilities,What is King Abdullah II Stadium?,"Located in Al-Quwayismah (Amman), it is considered the main stronghold for Al-Wehdat fans."
Sports_Facilities,Is there a race track in4`14 Jordan?,"Yes, Manja International Circuit and Sofex Circuit."
Sports_General,What is the Jordan Olympic Com4`1mittee (JOC)?,"It is the governing body for competitive sports in Jordan, headed by Prince Feisal bin Al-Hussein."
Sports_General,What is the 'Qusai' Initiative?,"A royal initiative aimed at improving the performance of sports therapists and ensuring player safety on the field."
Sports_General,What is Jiu-Jitsu in Jordan?,"A combat sport that is growing rapidly, with Jordan consistently winning Asian and global medals."
Sports_General,Kickboxing in Jordan?,"It is a very popular combat sport, with a long history of champions like Odai Abu Haswa."
Sports_General,Do Jordanians practice rock climbing?,"Yes, especially in Wadi Rum, which is a world-class destination for climbers."
Sports_General,What is Rugby in Jordan?,"An emerging sport, represented by the National Team (Nashama and Nashmiyat) in Asian tournaments."
Sports_General,Is there Fencing in Jordan?,"Yes, the Jordan Fencing Federation is active, and its players win medals in Arab championships."
Sports_Local,What is 'Harat' football?,"It refers to street football played in neighborhoods, which was the starting point for many Jordanian stars."
Sports_Local,What is the Shield Cup (Al-Dura)?,"It is a pre-season tournament for professional clubs to prepare for the league."
Sports_Local,What is the Super Cup?,"A match between the League Champion and the Cup Champion to open the football season."
Sports_Local,Who is the player nicknamed 'Pika'?,"It is the nickname of Mohannad Abu Taha, a rising young talent."
Sports_Local,Who is 'The Picasso'?,"Th4`14e nickname`14`1 of Ra'fat Ali, a legend of Al-Wehdat SC."
Sports_Local,Who is 'Hassooneh'?,"Hassooneh Al-Sheikh, a legend and former captain of Al-Faisaly SC."
Sports_History,When did Jordan first participate in the Olympics?,"Jordan first participated in the Moscow 1980 Olympics."
Sports_History,Which Arab Games did Jordan host?,"Jordan hosted the 1999 Pan Arab Games (Al-Hussein Games), which was a massive event."
Sports_Adventure,What is the Jordan Trail?,"It is a long-distance hiking trail stretching from Um Qais in the north to Aqaba in the south, passing through Jordan's diverse landscapes."
Sports_Culture,How do Jordanians celebrate a win?,"Car convoys fill the streets, flags are waved, and patriotic songs like 'Ya Bayraqna Al-Ali' are played loudly."
Category,Question,Answer
Tourism_Amman,Best walking areas in Amman?,"Rainbow Street, The Boulevard (Abdali), and the old Downtown (Al-Balad)."
Tourism_Amman,What is in the Royal Automobile Museum?,"It houses a rare collection of cars owned by the Kings of Jordan since the founding of the Emirate, telling Jordan's history through cars."
Tourism_Amman,What is the Roman Theatre in Amman?,"An ancient theatre located downtown, seating 6,000 spectators, used for celebrations in the Roman era."
Tourism_Amman,Where is the Jordan Museum?,"Located in Ras Al-Ain, it is the largest museum in Jordan, housing the Dead Sea Scrolls and Ain Ghazal statues."
Tourism_Amman,What is the Citadel (Jabal Al-Qala'a)?,"The highest hill in ancient Amman, featuring the Temple of Hercules, the Umayyad Palace, and the Archaeological Museum, offering panoramic views."
Tourism_Amman,What is Qasr Al-Abd?,"A rare Hellenistic pal23333333`ace located in Iraq Al-Amir, west of Amman."
Tourism_Amman,Where can I find the best Knafeh in Amman?,"Downtown is famous for historic Knafeh shops like Habibah, a must-try experience for any visitor."
Tourism_Amman,What is Souk Jara?,"A seasonal market for handicrafts and arts held on Rainbow Street every Friday during the summer."
Tourism_Amman,What is the Weibdeh area?,"A cultural hill in Amman known for quiet cafes, art centers (like Darat Al Funun), and street murals."
Tourism_Amman,What is King Abdullah I Mosque?,"Known as the Blue Mosque, located in Abdali, famous for its blue mosaic dome and open to tourists."
Tourism_Jerash,When is the Jerash Festival held?,"Usually held in summer (July or August), lasting several days featuring international music and cultural performances."
Tourism_Jerash,What is Hadrian's Arch?,"A massive gateway at the entrance of ancient Jerash, built to honor Emperor Hadrian's visit."
Tourism_Jerash,What is the Oval Plaza in Jerash?,"A unique oval-shaped plaza surrounded by columns, considered the icon of the ancient city."
Tourism_Jerash,How far is Jerash from Amman?,"It is about 48 km north of Amman, taking approximately 45 minutes by car."
Tourism_Jerash,Are there restaurants in Jerash?,"Yes, inside the site there is the Lebanese House and Artemis Restaurant, plus many rest stops along the road."
Tourism_Ajloun,What is Ajloun Castle?,"An Islamic fortress built by Izz al-Din Usama (one of Saladin's generals) in 1184 AD to defend against Crusaders."
Tourism_Ajloun,What is Ajloun Forest Reserve?,"A nature reserve famous for dense oak forests, offering wooden cabins for overnight stays in nature."
Tourism_Ajloun,What is the Ajloun Cable Car (Teleferique)?,"A new tourism project taking you on an aerial journey over Ajloun forests up to the castle area."
Tourism_Ajloun,What is the Rasoun Trail?,"A hiking trail in Ajloun villages passing through valleys, springs, and ancient ruins."
Tourism_Ajloun,Soap making in Ajloun?,"Ajloun is famous for the Soap House in the reserve, where soap is handmade from olive oil and natural herbs."
Tourism_Irbid,What is Umm Qais?,"An ancient city (Gadara) in the north, famous for its black basalt ruins and enchanting views of the Sea of Galilee."
Tourism_Irbid,What is Dar Al-Saraya Museum?,"Located in downtown Irbid, it was an Ottoman fortress and prison before becoming a history museum."
Tourism_Irbid,What is Pella (Tabaqat Fahl)?,"An archaeological site in the Northern Jordan Valley, known for Roman ruins and green nature in spring."
Tourism_Irbid,Where is Wadi Al-Rayan?,"Located in the Koura district of Irbid, featuring waterfalls, old mills, and pomegranate trees."
Tourism_Irbid,What is Irbid famous for?,"Known as the 'Bride of the North', famous for fertile soil, universities (Yarmouk & JUST), and the 'Makmoura' dish."
Tourism_Salt,What is Hammam Street in Salt?,"A heritage street in downtown Salt, famous for spice shops, traditional markets, and yellow stone architecture."
Tourism_Salt,Why is Salt on the UNESCO Heritage list?,"Due to its unique architecture and the social welfare system (Madafa) representing coexistence."
Tourism_Salt,What is the Historic Old Salt Museum (Abu Jaber House)?,"A heritage mansion turned into a museum displaying Salt's commercial and social history in the late Ottoman era."
Tourism_Salt,What is Al-Sitteen View?,"A street in the highlands of Salt offering a breathtaking panoramic view of the West Bank and Palestine mountains."
Tourism_Salt,What is Al-Khader Church?,"A historic church in Salt visited by both Muslims and Christians for blessings, symbolizing religious coexistence."
Tourism_Madaba,What is Madaba famous for?,"Nicknamed the City of Mosaics, it holds the largest number of Byzantine mosaic floors in the world."
Tourism_Madaba,What is the Madaba Map?,"The``````````` oldest surviving mosaic map of the Holy Land, located on the floor of St. George's Church."
Tourism_Madaba,What is Mount Nebo?,"The site where Prophet Moses saw the Promised Land and died, featuring an ancient church and Dead Sea views."
Tourism_Madaba,What is Mukawir Castle?,"A historic hilltop fortress overlooking the Dead Sea, where it is believed John the Baptist was imprisoned and beheaded."
Tourism_Madaba,What is Wadi Hidan?,"A water adventure canyon near Madaba, considered one of the most beautiful trekking spots in Jordan."
Tourism_DeadSea,What is the Dead Sea Panorama?,"A museum and restaurant on a cliff edge overlooking the Dead Sea, offering the best sunset view."
Tourism_DeadSea,Are there hotels at the Dead Sea?,"Yes, there is an are444444444a of world-class 5-star hotels offering private beaches and mud/salt treatments."
Tourism_DeadSea,What are Ma'in Hot Springs?,"Natural thermal waterfalls located near the Dead Sea, used for relaxation and therapeutic treatment."
Tourism_DeadSea,What is Amman Tourist Beach?,"A public beach equipped with pools and facilities, offering entry at a reasonable price compared to hotels."
Tourism_DeadSea,What is Samarah Mall?,"A shopping center and promenade with restaurants and cafes overlooking the Dead Sea."
Tourism_Karak,What is Karak Castle?,"One of the largest Crusader castles in the region, featuring secret passageways and huge underground halls."
Tourism_Karak,What is the Shrine of Prophet Noah?,"A tomb attributed to Prophet Noah located in Karak city, a religious visitation site."
Tourism_Karak,What is Karak famous for (Food)?,"It is `````````````````the capital of 'Karaki Jameed', considered the best for making Jordan's Mansaf."
Tourism_Karak,What is Wadi Bin Hammad?,"A magical tropical valley in Karak featuring flowing water, palm trees, and hanging gardens."
Tourism_Tafilah,What is Dana Heritage Village?,"An ancient stone village on the edge of the valley, restored as a tourism hub and eco-lodge."
Tourism_Tafilah,What is Feynan Ecolodge?,"A solar-powered eco-lodge lit by candles at night, located deep in Wadi Araba."
Tourism_Tafilah,What is Shobak Castle?,"A Crusader castle (Montreal) on an isolated hill, famous for its water wells and long secret tunnel."
Tourism_Tafilah,What are Afra Hot Springs?,"Thermal mineral springs in Tafilah visited by people for healing and therapy."
